system,game,integration_tier,json_file,source_fields,triggers,unsupported_fields
snes,TinyToonAdventuresBusterBustsLoose,stable,rumble\openai_retro\snes\stable\tinytoonadventuresbusterbustsloose_snes.json,3,5,0
genesis,TinyToonAdventuresBustersHiddenTreasure,stable,rumble\openai_retro\genesis\stable\tinytoonadventuresbustershiddentreasure_genesis.json,4,6,0
snes,TomAndJerry,stable,rumble\openai_retro\snes\stable\tomandjerry_snes.json,4,6,0
genesis,ToxicCrusaders,stable,rumble\openai_retro\genesis\stable\toxiccrusaders_genesis.json,3,5,0
genesis,TrampolineTerror,stable,rumble\openai_retro\genesis\stable\trampolineterror_genesis.json,2,3,0
genesis,TroubleShooter,stable,rumble\openai_retro\genesis\stable\troubleshooter_genesis.json,3,4,0
genesis,Truxton,stable,rumble\openai_retro\genesis\stable\truxton_genesis.json,2,3,0
genesis,Turrican,stable,rumble\openai_retro\genesis\stable\turrican_genesis.json,3,5,0
genesis,TwinCobraDesertAttackHelicopter,stable,rumble\openai_retro\genesis\stable\twincobradesertattackhelicopter_genesis.json,3,4,0
genesis,TwinkleTale,stable,rumble\openai_retro\genesis\stable\twinkletale_genesis.json,2,3,0
genesis,TwoCrudeDudes,stable,rumble\openai_retro\genesis\stable\twocrudedudes_genesis.json,3,5,0
snes,UchuuNoKishiTekkamanBlade,stable,rumble\openai_retro\snes\stable\uchuunokishitekkamanblade_snes.json,2,3,0
genesis,UndeadLine,stable,rumble\openai_retro\genesis\stable\undeadline_genesis.json,3,5,0
genesis,UniversalSoldier,stable,rumble\openai_retro\genesis\stable\universalsoldier_genesis.json,2,3,0
snes,UNSquadron,stable,rumble\openai_retro\snes\stable\unsquadron_snes.json,2,3,0
genesis,UzuKeobukseon,stable,rumble\openai_retro\genesis\stable\uzukeobukseon_genesis.json,2,3,0
genesis,VaporTrail,stable,rumble\openai_retro\genesis\stable\vaportrail_genesis.json,3,5,0
genesis,Vectorman,stable,rumble\openai_retro\genesis\stable\vectorman_genesis.json,2,3,0
genesis,Vectorman2,stable,rumble\openai_retro\genesis\stable\vectorman2_genesis.json,2,3,0
genesis,Viewpoint,stable,rumble\openai_retro\genesis\stable\viewpoint_genesis.json,2,3,0
genesis,VRTroopers,stable,rumble\openai_retro\genesis\stable\vrtroopers_genesis.json,5,4,2
genesis,WaniWaniWorld,stable,rumble\openai_retro\genesis\stable\waniwaniworld_genesis.json,2,3,0
genesis,Wardner,stable,rumble\openai_retro\genesis\stable\wardner_genesis.json,2,3,0
snes,WereBackADinosaursStory,stable,rumble\openai_retro\snes\stable\werebackadinosaursstory_snes.json,3,5,0
genesis,WhipRush,stable,rumble\openai_retro\genesis\stable\whiprush_genesis.json,7,8,0
genesis,WiznLiz,stable,rumble\openai_retro\genesis\stable\wiznliz_genesis.json,3,3,1
genesis,Wolfchild,stable,rumble\openai_retro\genesis\stable\wolfchild_genesis.json,3,5,0
snes,Wolfchild,stable,rumble\openai_retro\snes\stable\wolfchild_snes.json,3,5,0
genesis,WolverineAdamantiumRage,stable,rumble\openai_retro\genesis\stable\wolverineadamantiumrage_genesis.json,3,5,0
genesis,WorldHeroes,stable,rumble\openai_retro\genesis\stable\worldheroes_genesis.json,6,4,3
genesis,XDRXDazedlyRay,stable,rumble\openai_retro\genesis\stable\xdrxdazedlyray_genesis.json,2,3,0
genesis,Xenon2Megablast,stable,rumble\openai_retro\genesis\stable\xenon2megablast_genesis.json,2,3,0
snes,XKaliber2097,stable,rumble\openai_retro\snes\stable\xkaliber2097_snes.json,4,5,1
genesis,ZeroTheKamikazeSquirrel,stable,rumble\openai_retro\genesis\stable\zerothekamikazesquirrel_genesis.json,3,5,0
snes,ZeroTheKamikazeSquirrel,stable,rumble\openai_retro\snes\stable\zerothekamikazesquirrel_snes.json,3,5,0
genesis,ZeroWing,stable,rumble\openai_retro\genesis\stable\zerowing_genesis.json,3,3,1
snes,ZombiesAteMyNeighbors,stable,rumble\openai_retro\snes\stable\zombiesatemyneighbors_snes.json,5,6,1
genesis,ZoolNinjaOfTheNthDimension,stable,rumble\openai_retro\genesis\stable\zoolninjaofthenthdimension_genesis.json,4,5,1
snes,ZoolNinjaOfTheNthDimension,stable,rumble\openai_retro\snes\stable\zoolninjaofthenthdimension_snes.json,3,5,0
